"4" "7" "10" "14" "21" "49"
210 129 63 41 18 1
124 96 57 40 19 4
69 52 57 30 15 1
25 33 34 26 13 5
6 18 17 21 14 7
4 11 21 14 9 4
1 4 14 18 11 2
0 0 5 19 53 61
